n,rho
465,1.00092
466,1.00092
467,1.00093
468,1.00093
469,1.00093
470,1.00093
471,1.00094
472,1.00094
473,1.00094
474,1.00094
475,1.00094
476,1.00095
477,1.00095
478,1.00095
479,1.00095
480,1.00095
481,1.00096
482,1.00096
483,1.00096
484,1.00096
485,1.00096
486,1.00097
487,1.00097
488,1.00097
489,1.00097
490,1.00097
491,1.00098
492,1.00098
493,1.00098
494,1.00098
495,1.00098
496,1.00099
497,1.00099
498,1.00099
499,1.00099
500,1.00099
501,1.001
502,1.001
503,1.001
504,1.001
505,1.001
506,1.00101
507,1.00101
508,1.00101
509,1.00101
510,1.00101
511,1.00102
512,1.00102
513,1.00102
514,1.00102
515,1.00102
516,1.00103
517,1.00103
518,1.00103
519,1.00103
520,1.00104
521,1.00104
522,1.00104
523,1.00104
524,1.00104
525,1.00105
526,1.00105
527,1.00105
528,1.00105
529,1.00105
530,1.00106
531,1.00106
532,1.00106
533,1.00106
534,1.00106
535,1.00107
536,1.00107
537,1.00107
538,1.00107
539,1.00107
540,1.00108
541,1.00108
542,1.00108
543,1.00108
544,1.00108
545,1.00109
546,1.00109
547,1.00109
548,1.00109
549,1.00109
550,1.0011
551,1.0011
552,1.0011
553,1.0011
554,1.00111
555,1.00111
556,1.00111
557,1.00111
558,1.00111
559,1.00112
560,1.00112
561,1.00112
562,1.00112
563,1.00112
564,1.00113
565,1.00113
566,1.00113
567,1.00113
568,1.00113
569,1.00114
570,1.00114
571,1.00114
572,1.00114
573,1.00114
574,1.00115
575,1.00115
576,1.00115
577,1.00115
578,1.00116
579,1.00116
580,1.00116
581,1.00116
582,1.00116
583,1.00117
584,1.00117
585,1.00117
586,1.00117
587,1.00117
588,1.00118
589,1.00118
590,1.00118
591,1.00118
592,1.00118
593,1.00119
594,1.00119
595,1.00119
596,1.00119
597,1.00119
598,1.0012
599,1.0012
600,1.0012
601,1.0012
602,1.00121
603,1.00121
604,1.00121
605,1.00121
606,1.00121
607,1.00122
608,1.00122
609,1.00122
610,1.00122
611,1.00122
612,1.00123
613,1.00123
614,1.00123
615,1.00123
616,1.00123
617,1.00124
618,1.00124
619,1.00124
620,1.00124
621,1.00125
622,1.00125
623,1.00125
624,1.00125
625,1.00125
626,1.00126
627,1.00126
628,1.00126
629,1.00126
630,1.00126
631,1.00127
632,1.00127
633,1.00127
634,1.00127
635,1.00128
636,1.00128
637,1.00128
638,1.00128
639,1.00128
640,1.00129
641,1.00129
642,1.00129
643,1.00129
644,1.00129
645,1.0013
646,1.0013
647,1.0013
648,1.0013
649,1.0013
650,1.00131
651,1.00131
652,1.00131
653,1.00131
654,1.00132
655,1.00132
656,1.00132
657,1.00132
658,1.00132
659,1.00133
660,1.00133
661,1.00133
662,1.00133
663,1.00133
664,1.00134
665,1.00134
666,1.00134
667,1.00134
668,1.00135
669,1.00135
670,1.00135
671,1.00135
672,1.00135
673,1.00136
674,1.00136
675,1.00136
676,1.00136
677,1.00136
678,1.00137
679,1.00137
680,1.00137
681,1.00137
682,1.00138
683,1.00138
684,1.00138
685,1.00138
686,1.00138
687,1.00139
688,1.00139
689,1.00139
690,1.00139
691,1.00139
692,1.0014
693,1.0014
694,1.0014
695,1.0014
696,1.00141
697,1.00141
698,1.00141
699,1.00141
700,1.00141
701,1.00142
702,1.00142
703,1.00142
704,1.00142
705,1.00143
706,1.00143
707,1.00143
708,1.00143
709,1.00143
710,1.00144
711,1.00144
712,1.00144
713,1.00144
714,1.00144
715,1.00145
716,1.00145
717,1.00145
718,1.00145
719,1.00146
720,1.00146
721,1.00146
722,1.00146
723,1.00146
724,1.00147
725,1.00147
726,1.00147
727,1.00147
728,1.00148
729,1.00148
730,1.00148
731,1.00148
732,1.00148
733,1.00149
734,1.00149
735,1.00149
736,1.00149
737,1.00149
738,1.0015
739,1.0015
740,1.0015
741,1.0015
742,1.00151
743,1.00151
744,1.00151
745,1.00151
746,1.00151
747,1.00152
748,1.00152
749,1.00152
750,1.00152
751,1.00153
752,1.00153
753,1.00153
754,1.00153
755,1.00153
756,1.00154
757,1.00154
758,1.00154
759,1.00154
760,1.00155
761,1.00155
762,1.00155
763,1.00155
764,1.00155
765,1.00156
766,1.00156
767,1.00156
768,1.00156
769,1.00157
770,1.00157
771,1.00157
772,1.00157
773,1.00157
774,1.00158
775,1.00158
776,1.00158
777,1.00158
778,1.00159
779,1.00159
780,1.00159
781,1.00159
782,1.00159
783,1.0016
784,1.0016
785,1.0016
786,1.0016
787,1.00161
788,1.00161
789,1.00161
790,1.00161
791,1.00161
792,1.00162
793,1.00162
794,1.00162
795,1.00162
796,1.00163
797,1.00163
798,1.00163
799,1.00163
800,1.00163
801,1.00164
802,1.00164
803,1.00164
804,1.00164
805,1.00165
806,1.00165
807,1.00165
808,1.00165
809,1.00165
810,1.00166
811,1.00166
812,1.00166
813,1.00166
814,1.00167
815,1.00167
816,1.00167
817,1.00167
818,1.00167
819,1.00168
820,1.00168
821,1.00168
822,1.00168
823,1.00169
824,1.00169
825,1.00169
826,1.00169
827,1.00169
828,1.0017
829,1.0017
830,1.0017
831,1.0017
832,1.00171
833,1.00171
834,1.00171
835,1.00171
836,1.00172
837,1.00172
838,1.00172
839,1.00172
840,1.00172
841,1.00173
842,1.00173
843,1.00173
844,1.00173
845,1.00174
846,1.00174
847,1.00174
848,1.00174
849,1.00174
850,1.00175
851,1.00175
852,1.00175
853,1.00175
854,1.00176
855,1.00176
856,1.00176
857,1.00176
858,1.00177
859,1.00177
860,1.00177
861,1.00177
862,1.00177
863,1.00178
864,1.00178
865,1.00178
866,1.00178
867,1.00179
868,1.00179
869,1.00179
870,1.00179
871,1.00179
872,1.0018
873,1.0018
874,1.0018
875,1.0018
876,1.00181
877,1.00181
878,1.00181
879,1.00181
880,1.00182
881,1.00182
882,1.00182
883,1.00182
884,1.00182
885,1.00183
886,1.00183
887,1.00183
888,1.00183
889,1.00184
890,1.00184
891,1.00184
892,1.00184
893,1.00185
894,1.00185
895,1.00185
896,1.00185
897,1.00185
898,1.00186
899,1.00186
900,1.00186
901,1.00186
902,1.00187
903,1.00187
904,1.00187
905,1.00187
906,1.00188
907,1.00188
908,1.00188
909,1.00188
910,1.00188
911,1.00189
912,1.00189
913,1.00189
914,1.00189
915,1.0019
916,1.0019
917,1.0019
918,1.0019
919,1.00191
920,1.00191
921,1.00191
922,1.00191
923,1.00192
924,1.00192
925,1.00192
926,1.00192
927,1.00192
928,1.00193
929,1.00193
930,1.00193
931,1.00193
932,1.00194
933,1.00194
934,1.00194
935,1.00194
936,1.00195
937,1.00195
938,1.00195
939,1.00195
940,1.00195
941,1.00196
942,1.00196
943,1.00196
944,1.00196
945,1.00197
946,1.00197
947,1.00197
948,1.00197
949,1.00198
950,1.00198
951,1.00198
952,1.00198
953,1.00199
954,1.00199
955,1.00199
956,1.00199
957,1.002
958,1.002
959,1.002
960,1.002
961,1.002
962,1.00201
963,1.00201
964,1.00201
965,1.00201
966,1.00202
967,1.00202
968,1.00202
969,1.00202
970,1.00203
971,1.00203
972,1.00203
973,1.00203
974,1.00204
975,1.00204
976,1.00204
977,1.00204
978,1.00205
979,1.00205
980,1.00205
981,1.00205
982,1.00206
983,1.00206
984,1.00206
985,1.00206
986,1.00207
987,1.00207
988,1.00207
989,1.00208
990,1.00208
991,1.00208
992,1.00209
993,1.00209
994,1.00209
995,1.00209
996,1.0021
997,1.0021
998,1.0021
999,1.00211
1000,1.00211
1001,1.00211
1002,1.00212
1003,1.00212
1004,1.00212
1005,1.00212
1006,1.00213
1007,1.00213
1008,1.00213
1009,1.00213
1010,1.00213
1011,1.00213
1012,1.00214
1013,1.00214
1014,1.00214
1015,1.00214
1016,1.00214
1017,1.00214
1018,1.00213
1019,1.00213
